688,5,5,  1,  1.157
230924,195812,5,5,  1,  0.091
230925,167778,5,5,  1,  0.428
230926,147903,5,5,  1,  0.328
230927,221338,5,5,  1,  0.149
230928,255908,5,5,  1,  0.211
230929,186797,5,5,  4,  3.126
230930,255383,5,5,  1,  0.287
230931,205534,5,5,  1,  0.858
230932,103594,5,5,  1,  0.184
230932,252018,5,5,  1,  0.300
230933,188056,5,5,  1,  0.512
230934,230944,5,5,  1,  0.197
230935,129702,5,5,  1,  0.509
230936,122167,5,5,  1,  0.379
230937, 90511,5,5,  3,  1.464
230937,192341,5,5,  1,  0.275
230938,240705,5,5,  1,  0.329
230939,230941,5,5,  1,  0.219
230940,230938,5,5,  1,  0.229
230941,230943,5,5,  1,  0.174
230942, 55694,5,5,  1,  0.214
230942,256837,5,5,  1,  0.347
230943,201338,5,5,  1,  0.094
230943,260576,5,5,  1,  0.298
230944,230942,5,5,  1,  0.220
230945,221326,5,5,  1,  0.808
230946,221320,5,5,  3,  2.125
230946,221325,5,5,  1,  0.237
230947,175604,5,5,  1,  0.457
230948,175609,5,5,  1,  0.554
230949,230946,5,5,  1,  0.308
230950,146052,5,5,  2,  0.332
230950,240718,5,5,  1,  0.413
230951,230952,5,5,  1,  0.307
230952,230950,5,5,  1,  0.351
230953,146051,5,5,  1,  0.157
230953,221322,5,5,  1,  0.213
230953,221327,5,5,  1,  0.141
230954,175603,5,5,  1,  0.461
230955,158490,5,5,  1,  0.472
230955,158492,5,5,  1,  0.495
230955,190666,5,5,  1,  0.265
230955,239021,5,5,  1,  0.118
230956,234681,5,5,  1,  0.467
230957,137361,5,5,  1,  0.329
230957,245024,5,5,  1,  0.093
230958,217515,5,5,  1,  0.237
230959, 56063,5,5,  1,  0.195
230960,173642,5,5,  1,  0.230
230961,221344,5,5,  1,  0.235
230962,259039,5,5,  1,  0.140
230963,244994,5,5,  1,  0.255
230964,220618,5,5, 10,  4.761
230965,160784,5,5,  1,  0.256
230965,175012,5,5,  4,  0.348
230965,190365,5,5,  1,  0.529
230965,261451,5,5,  2,  0.296
230966, 16092,5,5,  2,  0.624
230967,215543,5,5,  1,  0.266
230968,208757,5,5,  1,  0.135
230969,257079,5,5,  1,  0.341
230970, 32524,5,5,  1,  0.437
230971,255571,5,5,  1,  0.318
230972,253261,5,5,  1,  0.557
230973, 88078,5,5,  1,  0.321
230974,149362,5,5,  1,  0.443
230974,221349,5,5,  1,  0.384
230975, 60712,5,5,  1,  0.389
230976,238780,5,5,  1,  0.477
230977,248092,5,5,  1,  0.225
230978,221374,5,5,  1,  0.167
230979,250692,5,5,  1,  0.185
230980, 31425,5,5,  1,  0.402
230981, 69148,5,5,  3,  0.881
230981,257453,5,5,  5,  0.842
230982, 70847,5,5,  1,  0.260
230983,149379,5,5,  1,  0.295
230984,225267,5,5,  7,  1.977
230985,221843,5,5,  1,  0.143
230986, 45417,5,5,  5,  1.636
230986,230987,5,5,  2,  0.750
230987,173316,5,5,  4,  1.917
230987,230986,5,5,  2,  0.750
230988, 95146,5,5,  1,  0.661
230988,112744,5,5,  1,  0.225
230988,120980,5,5,  1,  0.139
230988,196595,5,5,  1,  0.322
230989, 54910,5,5,  1,  0.113
230990, 35803,5,5,  1,  0.194
230991,237352,5,5,  1,  0.146
230992, 25375,5,5,  1,  0.189
230992, 43240,5,5,  6,  2.756
230993,240798,5,5,  1,  0.185
230994,221387,5,5,  2,  0.980
230995, 76043,5,5,  1,  0.256
230996, 76054,5,5,  1,  0.456
230997,230998,5,5,  1,  0.265
230998, 65804,5,5,  1,  0.245
230998,240792,5,5,  2,  0.486
230999,230993,5,5,  2,  0.199
230999,240798,5,5,  2,  0.149
231000,244179,5,5,  2,  0.505
231001, 60705,5,5,  1,  0.351
231001,210831,5,5,  1,  0.352
231002, 29892,5,5,  1,  0.609
231003, 38621,5,5,  1,  0.282
231004,221401,5,5,  1,  0.305
231005,228598,5,5,  1,  0.270
231006, 61932,5,5,  1,  0.364
231007, 68619,5,5,  1,  0.165
231008, 76165,5,5,  1,  0.201
231009,231007,5,5,  1,  0.200
231010,221377,5,5,  3,  1.050
231011,231009,5,5,  1,  0.063
231012,231004,5,5,  2,  0.357
231013,256311,5,5,  1,  0.116
231014,234413,5,5,  1,  0.093
231015,113526,5,5,  1,  0.352
231015,125891,5,5,  1,  0.292
231016,108143,5,5,  1,  0.194
231016,108144,5,5,  1,  0.494
231017,211487,5,5,  1,  0.318
231018, 76238,5,5,  1,  0.301
231019,116012,5,5,  3,  2.974
231019,226032,5,5,  5,  2.850
231020,134025,5,5,  2,  0.771
231021,202540,5,5,  1,  0.375
231022, 71202,5,5,  1,  0.163
231022,121788,5,5,  4,  0.783
231023,164333,5,5,  1,  0.175
231024,233084,5,5,  1,  0.276
231025,116016,5,5,  1,  0.830
231026,221420,5,5,  1,  0.147
